Employee_ID,Age,Gender,Marital_Status,Education_Level,Department,Job_Role,Total_Work_Experience,Years_at_Company,Years_in_Current_Role,Promotion_Count,Business_Travel,Work_Mode,Distance_From_Home,Monthly_Salary,Annual_Bonus,Stock_Option_Value,Overtime_Hours,Monthly_Expenses,Compensation_Band,Performance_Rating,Manager_Rating,Training_Hours,Certification_Count,Project_Count,Job_Satisfaction,Work_Life_Balance,Environment_Satisfaction,Relationship_Satisfaction,Recognition_Score,Manager_Support,Engagement_Index,Productivity_Index,Financial_Stress_Index,Attendance_Score,Career_Growth_Index,Annual_Compensation,Experience_Band,Attrition
EMP100001,37,Male,Single,Bachelor,Engineering,Senior Engineer,15,7.8,5.0,2,Frequently,Hybrid,19.2,11032.61,17422.14,151484.41,4.7,5288.23,Medium,4,4.0,35.1,3,3,6,5,7.0,6,7,7,6.5,53.59,44.11,92.84,52.99,301297.87,Mid,0
EMP100002,27,Male,Single,Bachelor,Operations,Engineer,2,2.0,0.1,0,Never,Office,6.1,5953.93,14494.6,0.0,10.8,4232.64,Low,3,3.0,,0,1,6,5,5.0,5,5,5,5.25,39.22,85.62,88.21,14.41,85941.76,Entry,0
EMP100003,41,Male,Married,Master,Finance,Manager,15,4.7,0.2,1,Frequently,Hybrid,4.9,22053.98,19612.16,232221.91,1.3,11040.13,High,3,4.0,31.8,0,8,6,4,6.0,4,9,4,5.75,49.53,36.18,90.69,36.18,516481.83,Mid,0
EMP100004,43,Male,Divorced,Bachelor,Finance,Manager,23,3.0,0.8,0,Never,Hybrid,15.0,27033.46,137192.6,111808.68,1.3,16966.09,High,4,5.0,31.6,0,8,6,6,5.0,6,6,8,6.5,59.97,50.7,89.36,31.91,573402.8,Senior,0
EMP100005,21,Male,Single,Bachelor,HR,Associate,0,0.0,0.0,0,Rarely,Hybrid,15.7,3253.53,4228.73,0.0,3.4,1435.83,Low,3,3.0,20.4,0,2,5,4,5.0,4,5,4,4.5,39.32,44.69,90.01,14.34,43271.09,Entry,0
EMP100006,25,Male,Single,Master,Engineering,Associate,1,1.0,0.2,0,Never,Hybrid,36.8,4165.69,14103.63,0.0,6.9,2105.19,Low,4,3.0,34.5,2,2,4,4,5.0,6,5,4,4.75,45.6,54.94,89.86,26.59,64091.91,Entry,0
EMP100007,36,Male,Divorced,Bachelor,Support,Senior Engineer,17,0.9,0.8,0,Rarely,Office,12.7,10829.18,21103.94,0.0,19.2,6994.89,Medium,3,2.0,26.0,2,7,3,2,5.0,4,3,1,2.75,37.44,75.36,80.77,25.17,151054.1,Mid,0
EMP100008,32,Female,Married,Bachelor,Engineering,Senior Engineer,7,5.3,1.6,2,Never,Hybrid,11.1,25287.69,45881.94,152866.46,16.1,7240.86,Medium,4,4.0,27.2,0,4,3,4,6.0,5,4,6,4.5,43.71,83.49,86.12,36.01,502200.68,Junior,0
EMP100009,35,Female,Married,Bachelor,Engineering,Senior Engineer,14,8.6,4.0,1,Never,Hybrid,3.7,11509.84,46815.55,88820.62,2.5,4661.42,Medium,3,,22.2,0,5,8,4,5.0,3,7,4,5.5,44.0,31.68,93.22,24.99,273754.25,Mid,0
EMP100010,28,Male,Married,Master,Sales,Associate,2,2.0,2.0,1,Rarely,Remote,51.4,4174.85,9050.44,0.0,7.8,2025.92,Low,3,,,0,3,2,4,4.0,6,5,3,4.0,40.71,52.31,86.34,24.22,59148.64,Entry,0
EMP100011,42,Male,Married,High School,Finance,Manager,26,6.0,1.5,2,Rarely,Hybrid,3.7,30610.13,240216.63,400447.99,6.2,22447.12,High,4,4.0,30.4,1,6,7,6,6.0,5,9,7,7.0,63.01,65.42,92.98,50.02,1007986.18,Senior,0
EMP100012,41,Male,Married,Master,Marketing,Senior Engineer,18,3.3,2.0,0,Rarely,Hybrid,36.7,10937.38,28553.74,0.0,8.1,6296.8,Medium,2,2.0,21.5,1,6,5,6,6.0,4,4,5,4.5,31.58,60.0,88.21,20.49,159802.3,Mid,0
EMP100013,36,Male,Single,Bachelor,Engineering,Senior Engineer,16,2.1,1.6,0,Rarely,Office,7.8,10292.26,15845.59,0.0,9.4,6766.58,Medium,5,5.0,24.3,1,6,6,6,6.0,7,8,8,7.25,69.06,73.31,92.55,23.94,139352.71,Mid,0
EMP100014,44,Female,Married,Bachelor,Finance,Manager,21,0.4,0.1,0,Rarely,Hybrid,31.9,25030.81,94776.47,530568.6,8.6,17749.71,High,4,4.0,35.0,1,6,5,5,6.0,6,4,5,5.0,49.14,67.73,87.59,35.26,925714.79,Senior,1
